#     Non-channel data
  RctLsb  0.50000
    Gain  0.17700
#             eta             phi             dep             det   Rcalib  LutGranularity  OutputLutThreshold      DetId
               -4              10               1              HB  1.13989               1                   1   4310100A
               -5              10               1              HB  1.13868               1                   1   4310140A
               -6              10               1              HB  1.13826               1                   1   4310180A
               -7              10               1              HB  1.13653               1                   1   43101C0A
               -8              10               1              HB  1.13632               1                   1   4310200A
               -9              10               1              HB  1.13617               1                   1   4310240A
              -10              10               1              HB  1.13472               1                   1   4310280A
              -11              10               1              HB  1.13421               1                   1   43102C0A
              -12              10               1              HB  1.13407               1                   1   4310300A
              -13              10               1              HB  1.13332               1                   1   4310340A
              -14              10               1              HB  1.13091               1                   1   4310380A
              -15              10               1              HB  1.13090               1                   1   43103C0A
              -15              10               2              HB  1.13090               1                   1   43203C0A
              -16              10               1              HB  1.13975               1                   1   4310400A
              -16              10               2              HB  1.13975               1                   1   4320400A
               -1              11               1              HB  1.14158               1                   1   4310040B
               -2              11               1              HB  1.14108               1                   1   4310080B
               -3              11               1              HB  1.14022               1                   1   43100C0B
               -4              11               1              HB  1.13989               1                   1   4310100B
               -5              11               1              HB  1.13868               1                   1   4310140B
               -6              11               1              HB  1.13826               1                   1   4310180B
               -7              11               1              HB  1.13653               1                   1   43101C0B
               -8              11               1              HB  1.13632               1                   1   4310200B
               -9              11               1              HB  1.13617               1                   1   4310240B
              -10              11               1              HB  1.13472               1                   1   4310280B
              -11              11               1              HB  1.13421               1                   1   43102C0B
              -12              11               1              HB  1.13407               1                   1   4310300B
              -13              11               1              HB  1.13332               1                   1   4310340B
              -14              11               1              HB  1.13091               1                   1   4310380B
              -15              11               1              HB  1.13090               1                   1   43103C0B
              -15              11               2              HB  1.13090               1                   1   43203C0B
              -16              11               1              HB  1.13975               1                   1   4310400B
              -16              11               2              HB  1.13975               1                   1   4320400B
               -1              12               1              HB  1.14158               1                   1   4310040C
               -2              12               1              HB  1.14108               1                   1   4310080C
               -3              12               1              HB  1.14022               1                   1   43100C0C
               -4              12               1              HB  1.13989               1                   1   4310100C
               -5              12               1              HB  1.13868               1                   1   4310140C
               -6              12               1              HB  1.13826               1                   1   4310180C
               -7              12               1              HB  1.13653               1                   1   43101C0C
               -8              12               1              HB  1.13632               1                   1   4310200C
               -9              12               1              HB  1.13617               1                   1   4310240C
