#     Non-channel data
  RctLsb  0.50000
    Gain  0.17700
#             eta             phi             dep             det   Rcalib  LutGranularity  OutputLutThreshold      DetId
                9              18               4              HO  1.00000               1                   1   47482412
               10              18               4              HO  1.00000               1                   1   47482812
               11              18               4              HO  1.00000               1                   1   47482C12
               12              18               4              HO  1.00000               1                   1   47483012
               13              18               4              HO  1.00000               1                   1   47483412
               14              18               4              HO  1.00000               1                   1   47483812
               15              18               4              HO  1.00000               1                   1   47483C12
                1              19               4              HO  1.00000               1                   1   47480413
                2              19               4              HO  1.00000               1                   1   47480813
                3              19               4              HO  1.00000               1                   1   47480C13
                4              19               4              HO  1.00000               1                   1   47481013
                5              19               4              HO  1.00000               1                   1   47481413
                6              19               4              HO  1.00000               1                   1   47481813
                7              19               4              HO  1.00000               1                   1   47481C13
                8              19               4              HO  1.00000               1                   1   47482013
                9              19               4              HO  1.00000               1                   1   47482413
               10              19               4              HO  1.00000               1                   1   47482813
               11              19               4              HO  1.00000               1                   1   47482C13
               12              19               4              HO  1.00000               1                   1   47483013
               13              19               4              HO  1.00000               1                   1   47483413
               14              19               4              HO  1.00000               1                   1   47483813
               15              19               4              HO  1.00000               1                   1   47483C13
                1              20               4              HO  1.00000               1                   1   47480414
                2              20               4              HO  1.00000               1                   1   47480814
                3              20               4              HO  1.00000               1                   1   47480C14
                4              20               4              HO  1.00000               1                   1   47481014
                5              20               4              HO  1.00000               1                   1   47481414
                6              20               4              HO  1.00000               1                   1   47481814
                7              20               4              HO  1.00000               1                   1   47481C14
                8              20               4              HO  1.00000               1                   1   47482014
                9              20               4              HO  1.00000               1                   1   47482414
               10              20               4              HO  1.00000               1                   1   47482814
               11              20               4              HO  1.00000               1                   1   47482C14
               12              20               4              HO  1.00000               1                   1   47483014
               13              20               4              HO  1.00000               1                   1   47483414
               14              20               4              HO  1.00000               1                   1   47483814
               15              20               4              HO  1.00000               1                   1   47483C14
                1              21               4              HO  1.00000               1                   1   47480415
                2              21               4              HO  1.00000               1                   1   47480815
                3              21               4              HO  1.00000               1                   1   47480C15
                4              21               4              HO  1.00000               1                   1   47481015
                5              21               4              HO  1.00000               1                   1   47481415
                6              21               4              HO  1.00000               1                   1   47481815
                7              21               4              HO  1.00000               1                   1   47481C15
                8              21               4              HO  1.00000               1                   1   47482015
                9              21               4              HO  1.00000               1                   1   47482415
               10              21               4              HO  1.00000               1                   1   47482815
               11              21               4              HO  1.00000               1                   1   47482C15
               12              21               4              HO  1.00000               1                   1   47483015
               13              21               4              HO  1.00000               1                   1   47483415
               14              21               4              HO  1.00000               1                   1   47483815
               15              21               4              HO  1.00000               1                   1   47483C15
                1              22               4              HO  1.00000               1                   1   47480416
                2              22               4              HO  1.00000               1                   1   47480816
                3              22               4              HO  1.00000               1                   1   47480C16
                4              22               4              HO  1.00000               1                   1   47481016
                5              22               4              HO  1.00000               1                   1   47481416
                6              22               4              HO  1.00000               1                   1   47481816
                7              22               4              HO  1.00000               1                   1   47481C16
                8              22               4              HO  1.00000               1                   1   47482016
                9              22               4              HO  1.00000               1                   1   47482416
               10              22               4              HO  1.00000               1                   1   47482816
               11              22               4              HO  1.00000               1                   1   47482C16
               12              22               4              HO  1.00000               1                   1   47483016
               13              22               4              HO  1.00000               1                   1   47483416
               14              22               4              HO  1.00000               1                   1   47483816
               15              22               4              HO  1.00000               1                   1   47483C16
                1              23               4              HO  1.00000               1                   1   47480417
                2              23               4              HO  1.00000               1                   1   47480817
                3              23               4              HO  1.00000               1                   1   47480C17
                4              23               4              HO  1.00000               1                   1   47481017
                5              23               4              HO  1.00000               1                   1   47481417
                6              23               4              HO  1.00000               1                   1   47481817
                7              23               4              HO  1.00000               1                   1   47481C17
                8              23               4              HO  1.00000               1                   1   47482017
                9              23               4              HO  1.00000               1                   1   47482417
               10              23               4              HO  1.00000               1                   1   47482817
               11              23               4              HO  1.00000               1                   1   47482C17
               12              23               4              HO  1.00000               1                   1   47483017
               13              23               4              HO  1.00000               1                   1   47483417
               14              23               4              HO  1.00000               1                   1   47483817
               15              23               4              HO  1.00000               1                   1   47483C17
                1              24               4              HO  1.00000               1                   1   47480418
                2              24               4              HO  1.00000               1                   1   47480818
                3              24               4              HO  1.00000               1                   1   47480C18
                4              24               4              HO  1.00000               1                   1   47481018
                5              24               4              HO  1.00000               1                   1   47481418
                6              24               4              HO  1.00000               1                   1   47481818
                7              24               4              HO  1.00000               1                   1   47481C18
                8              24               4              HO  1.00000               1                   1   47482018
                9              24               4              HO  1.00000               1                   1   47482418
               10              24               4              HO  1.00000               1                   1   47482818
               11              24               4              HO  1.00000               1                   1   47482C18
               12              24               4              HO  1.00000               1                   1   47483018
               13              24               4              HO  1.00000               1                   1   47483418
               14              24               4              HO  1.00000               1                   1   47483818
               15              24               4              HO  1.00000               1                   1   47483C18
                1              25               4              HO  1.00000               1                   1   47480419
                2              25               4              HO  1.00000               1                   1   47480819
                3              25               4              HO  1.00000               1                   1   47480C19
                4              25               4              HO  1.00000               1                   1   47481019
                5              25               4              HO  1.00000               1                   1   47481419
                6              25               4              HO  1.00000               1                   1   47481819
                7              25               4              HO  1.00000               1                   1   47481C19
                8              25               4              HO  1.00000               1                   1   47482019
                9              25               4              HO  1.00000               1                   1   47482419
               10              25               4              HO  1.00000               1                   1   47482819
               11              25               4              HO  1.00000               1                   1   47482C19
               12              25               4              HO  1.00000               1                   1   47483019
               13              25               4              HO  1.00000               1                   1   47483419
               14              25               4              HO  1.00000               1                   1   47483819
               15              25               4              HO  1.00000               1                   1   47483C19
                1              26               4              HO  1.00000               1                   1   4748041A
                2              26               4              HO  1.00000               1                   1   4748081A
                3              26               4              HO  1.00000               1                   1   47480C1A
                4              26               4              HO  1.00000               1                   1   4748101A
                5              26               4              HO  1.00000               1                   1   4748141A
                6              26               4              HO  1.00000               1                   1   4748181A
                7              26               4              HO  1.00000               1                   1   47481C1A
                8              26               4              HO  1.00000               1                   1   4748201A
                9              26               4              HO  1.00000               1                   1   4748241A
               10              26               4              HO  1.00000               1                   1   4748281A
               11              26               4              HO  1.00000               1                   1   47482C1A
               12              26               4              HO  1.00000               1                   1   4748301A
               13              26               4              HO  1.00000               1                   1   4748341A
               14              26               4              HO  1.00000               1                   1   4748381A
               15              26               4              HO  1.00000               1                   1   47483C1A
                1              27               4              HO  1.00000               1                   1   4748041B
                2              27               4              HO  1.00000               1                   1   4748081B
                3              27               4              HO  1.00000               1                   1   47480C1B
                4              27               4              HO  1.00000               1                   1   4748101B
                5              27               4              HO  1.00000               1                   1   4748141B
                6              27               4              HO  1.00000               1                   1   4748181B
                7              27               4              HO  1.00000               1                   1   47481C1B
                8              27               4              HO  1.00000               1                   1   4748201B
                9              27               4              HO  1.00000               1                   1   4748241B
               10              27               4              HO  1.00000               1                   1   4748281B
               11              27               4              HO  1.00000               1                   1   47482C1B
               12              27               4              HO  1.00000               1                   1   4748301B
               13              27               4              HO  1.00000               1                   1   4748341B
               14              27               4              HO  1.00000               1                   1   4748381B
               15              27               4              HO  1.00000               1                   1   47483C1B
                1              28               4              HO  1.00000               1                   1   4748041C
                2              28               4              HO  1.00000               1                   1   4748081C
                3              28               4              HO  1.00000               1                   1   47480C1C
                4              28               4              HO  1.00000               1                   1   4748101C
                5              28               4              HO  1.00000               1                   1   4748141C
                6              28               4              HO  1.00000               1                   1   4748181C
                7              28               4              HO  1.00000               1                   1   47481C1C
                8              28               4              HO  1.00000               1                   1   4748201C
                9              28               4              HO  1.00000               1                   1   4748241C
               10              28               4              HO  1.00000               1                   1   4748281C
               11              28               4              HO  1.00000               1                   1   47482C1C
               12              28               4              HO  1.00000               1                   1   4748301C
               13              28               4              HO  1.00000               1                   1   4748341C
               14              28               4              HO  1.00000               1                   1   4748381C
               15              28               4              HO  1.00000               1                   1   47483C1C
                1              29               4              HO  1.00000               1                   1   4748041D
                2              29               4              HO  1.00000               1                   1   4748081D
                3              29               4              HO  1.00000               1                   1   47480C1D
                4              29               4              HO  1.00000               1                   1   4748101D
                5              29               4              HO  1.00000               1                   1   4748141D
                6              29               4              HO  1.00000               1                   1   4748181D
                7              29               4              HO  1.00000               1                   1   47481C1D
                8              29               4              HO  1.00000               1                   1   4748201D
                9              29               4              HO  1.00000               1                   1   4748241D
               10              29               4              HO  1.00000               1                   1   4748281D
               11              29               4              HO  1.00000               1                   1   47482C1D
               12              29               4              HO  1.00000               1                   1   4748301D
               13              29               4              HO  1.00000               1                   1   4748341D
               14              29               4              HO  1.00000               1                   1   4748381D
               15              29               4              HO  1.00000               1                   1   47483C1D
                1              30               4              HO  1.00000               1                   1   4748041E
                2              30               4              HO  1.00000               1                   1   4748081E
                3              30               4              HO  1.00000               1                   1   47480C1E
                4              30               4              HO  1.00000               1                   1   4748101E
                5              30               4              HO  1.00000               1                   1   4748141E
                6              30               4              HO  1.00000               1                   1   4748181E
                7              30               4              HO  1.00000               1                   1   47481C1E
                8              30               4              HO  1.00000               1                   1   4748201E
                9              30               4              HO  1.00000               1                   1   4748241E
               10              30               4              HO  1.00000               1                   1   4748281E
               11              30               4              HO  1.00000               1                   1   47482C1E
               12              30               4              HO  1.00000               1                   1   4748301E
               13              30               4              HO  1.00000               1                   1   4748341E
               14              30               4              HO  1.00000               1                   1   4748381E
               15              30               4              HO  1.00000               1                   1   47483C1E
                1              31               4              HO  1.00000               1                   1   4748041F
                2              31               4              HO  1.00000               1                   1   4748081F
                3              31               4              HO  1.00000               1                   1   47480C1F
                4              31               4              HO  1.00000               1                   1   4748101F
                5              31               4              HO  1.00000               1                   1   4748141F
                6              31               4              HO  1.00000               1                   1   4748181F
                7              31               4              HO  1.00000               1                   1   47481C1F
                8              31               4              HO  1.00000               1                   1   4748201F
                9              31               4              HO  1.00000               1                   1   4748241F
               10              31               4              HO  1.00000               1                   1   4748281F
               11              31               4              HO  1.00000               1                   1   47482C1F
               12              31               4              HO  1.00000               1                   1   4748301F
               13              31               4              HO  1.00000               1                   1   4748341F
               14              31               4              HO  1.00000               1                   1   4748381F
               15              31               4              HO  1.00000               1                   1   47483C1F
                1              32               4              HO  1.00000               1                   1   47480420
                2              32               4              HO  1.00000               1                   1   47480820
                3              32               4              HO  1.00000               1                   1   47480C20
                4              32               4              HO  1.00000               1                   1   47481020
                5              32               4              HO  1.00000               1                   1   47481420
                6              32               4              HO  1.00000               1                   1   47481820
                7              32               4              HO  1.00000               1                   1   47481C20
                8              32               4              HO  1.00000               1                   1   47482020
                9              32               4              HO  1.00000               1                   1   47482420
               10              32               4              HO  1.00000               1                   1   47482820
               11              32               4              HO  1.00000               1                   1   47482C20
               12              32               4              HO  1.00000               1                   1   47483020
               13              32               4              HO  1.00000               1                   1   47483420
               14              32               4              HO  1.00000               1                   1   47483820
               15              32               4              HO  1.00000               1                   1   47483C20
                1              33               4              HO  1.00000               1                   1   47480421
                2              33               4              HO  1.00000               1                   1   47480821
                3              33               4              HO  1.00000               1                   1   47480C21
                4              33               4              HO  1.00000               1                   1   47481021
                5              33               4              HO  1.00000               1                   1   47481421
                6              33               4              HO  1.00000               1                   1   47481821
                7              33               4              HO  1.00000               1                   1   47481C21
                8              33               4              HO  1.00000               1                   1   47482021
                9              33               4              HO  1.00000               1                   1   47482421
               10              33               4              HO  1.00000               1                   1   47482821
               11              33               4              HO  1.00000               1                   1   47482C21
               12              33               4              HO  1.00000               1                   1   47483021
               13              33               4              HO  1.00000               1                   1   47483421
               14              33               4              HO  1.00000               1                   1   47483821
               15              33               4              HO  1.00000               1                   1   47483C21
                1              34               4              HO  1.00000               1                   1   47480422
                2              34               4              HO  1.00000               1                   1   47480822
                3              34               4              HO  1.00000               1                   1   47480C22
                4              34               4              HO  1.00000               1                   1   47481022
                5              34               4              HO  1.00000               1                   1   47481422
                6              34               4              HO  1.00000               1                   1   47481822
                7              34               4              HO  1.00000               1                   1   47481C22
                8              34               4              HO  1.00000               1                   1   47482022
                9              34               4              HO  1.00000               1                   1   47482422
               10              34               4              HO  1.00000               1                   1   47482822
               11              34               4              HO  1.00000               1                   1   47482C22
               12              34               4              HO  1.00000               1                   1   47483022
               13              34               4              HO  1.00000               1                   1   47483422
               14              34               4              HO  1.00000               1                   1   47483822
               15              34               4              HO  1.00000               1                   1   47483C22
                1              35               4              HO  1.00000               1                   1   47480423
                2              35               4              HO  1.00000               1                   1   47480823
                3              35               4              HO  1.00000               1                   1   47480C23
                4              35               4              HO  1.00000               1                   1   47481023
                5              35               4              HO  1.00000               1                   1   47481423
                6              35               4              HO  1.00000               1                   1   47481823
                7              35               4              HO  1.00000               1                   1   47481C23
                8              35               4              HO  1.00000               1                   1   47482023
                9              35               4              HO  1.00000               1                   1   47482423
               10              35               4              HO  1.00000               1                   1   47482823
               11              35               4              HO  1.00000               1                   1   47482C23
               12              35               4              HO  1.00000               1                   1   47483023
               13              35               4              HO  1.00000               1                   1   47483423
               14              35               4              HO  1.00000               1                   1   47483823
               15              35               4              HO  1.00000               1                   1   47483C23
                1              36               4              HO  1.00000               1                   1   47480424
                2              36               4              HO  1.00000               1                   1   47480824
                3              36               4              HO  1.00000               1                   1   47480C24
                4              36               4              HO  1.00000               1                   1   47481024
                5              36               4              HO  1.00000               1                   1   47481424
                6              36               4              HO  1.00000               1                   1   47481824
                7              36               4              HO  1.00000               1                   1   47481C24
                8              36               4              HO  1.00000               1                   1   47482024
                9              36               4              HO  1.00000               1                   1   47482424
               10              36               4              HO  1.00000               1                   1   47482824
               11              36               4              HO  1.00000               1                   1   47482C24
               12              36               4              HO  1.00000               1                   1   47483024
               13              36               4              HO  1.00000               1                   1   47483424
               14              36               4              HO  1.00000               1                   1   47483824
               15              36               4              HO  1.00000               1                   1   47483C24
                1              37               4              HO  1.00000               1                   1   47480425
                2              37               4              HO  1.00000               1                   1   47480825
                3              37               4              HO  1.00000               1                   1   47480C25
                4              37               4              HO  1.00000               1                   1   47481025
                5              37               4              HO  1.00000               1                   1   47481425
                6              37               4              HO  1.00000               1                   1   47481825
                7              37               4              HO  1.00000               1                   1   47481C25
                8              37               4              HO  1.00000               1                   1   47482025
                9              37               4              HO  1.00000               1                   1   47482425
               10              37               4              HO  1.00000               1                   1   47482825
               11              37               4              HO  1.00000               1                   1   47482C25
               12              37               4              HO  1.00000               1                   1   47483025
               13              37               4              HO  1.00000               1                   1   47483425
               14              37               4              HO  1.00000               1                   1   47483825
               15              37               4              HO  1.00000               1                   1   47483C25
                1              38               4              HO  1.00000               1                   1   47480426
                2              38               4              HO  1.00000               1                   1   47480826
                3              38               4              HO  1.00000               1                   1   47480C26
                4              38               4              HO  1.00000               1                   1   47481026
                5              38               4              HO  1.00000               1                   1   47481426
                6              38               4              HO  1.00000               1                   1   47481826
                7              38               4              HO  1.00000               1                   1   47481C26
                8              38               4              HO  1.00000               1                   1   47482026
                9              38               4              HO  1.00000               1                   1   47482426
               10              38               4              HO  1.00000               1                   1   47482826
               11              38               4              HO  1.00000               1                   1   47482C26
               12              38               4              HO  1.00000               1                   1   47483026
               13              38               4              HO  1.00000               1                   1   47483426
               14              38               4              HO  1.00000               1                   1   47483826
               15              38               4              HO  1.00000               1                   1   47483C26
                1              39               4              HO  1.00000               1                   1   47480427
                2              39               4              HO  1.00000               1                   1   47480827
                3              39               4              HO  1.00000               1                   1   47480C27
                4              39               4              HO  1.00000               1                   1   47481027
                5              39               4              HO  1.00000               1                   1   47481427
                6              39               4              HO  1.00000               1                   1   47481827
                7              39               4              HO  1.00000               1                   1   47481C27
                8              39               4              HO  1.00000               1                   1   47482027
                9              39               4              HO  1.00000               1                   1   47482427
               10              39               4              HO  1.00000               1                   1   47482827
               11              39               4              HO  1.00000               1                   1   47482C27
               12              39               4              HO  1.00000               1                   1   47483027
               13              39               4              HO  1.00000               1                   1   47483427
               14              39               4              HO  1.00000               1                   1   47483827
               15              39               4              HO  1.00000               1                   1   47483C27
                1              40               4              HO  1.00000               1                   1   47480428
                2              40               4              HO  1.00000               1                   1   47480828
                3              40               4              HO  1.00000               1                   1   47480C28
                4              40               4              HO  1.00000               1                   1   47481028
                5              40               4              HO  1.00000               1                   1   47481428
                6              40               4              HO  1.00000               1                   1   47481828
                7              40               4              HO  1.00000               1                   1   47481C28
                8              40               4              HO  1.00000               1                   1   47482028
                9              40               4              HO  1.00000               1                   1   47482428
               10              40               4              HO  1.00000               1                   1   47482828
               11              40               4              HO  1.00000               1                   1   47482C28
               12              40               4              HO  1.00000               1                   1   47483028
               13              40               4              HO  1.00000               1                   1   47483428
               14              40               4              HO  1.00000               1                   1   47483828
               15              40               4              HO  1.00000               1                   1   47483C28
                1              41               4              HO  1.00000               1                   1   47480429
                2              41               4              HO  1.00000               1                   1   47480829
                3              41               4              HO  1.00000               1                   1   47480C29
                4              41               4              HO  1.00000               1                   1   47481029
                5              41               4              HO  1.00000               1                   1   47481429
                6              41               4              HO  1.00000               1                   1   47481829
                7              41               4              HO  1.00000               1                   1   47481C29
                8              41               4              HO  1.00000               1                   1   47482029
                9              41               4              HO  1.00000               1                   1   47482429
               10              41               4              HO  1.00000               1                   1   47482829
               11              41               4              HO  1.00000               1                   1   47482C29
               12              41               4              HO  1.00000               1                   1   47483029
               13              41               4              HO  1.00000               1                   1   47483429
               14              41               4              HO  1.00000               1                   1   47483829
               15              41               4              HO  1.00000               1                   1   47483C29
                1              42               4              HO  1.00000               1                   1   4748042A
                2              42               4              HO  1.00000               1                   1   4748082A
                3              42               4              HO  1.00000               1                   1   47480C2A
                4              42               4              HO  1.00000               1                   1   4748102A
                5              42               4              HO  1.00000               1                   1   4748142A
                6              42               4              HO  1.00000               1                   1   4748182A
                7              42               4              HO  1.00000               1                   1   47481C2A
                8              42               4              HO  1.00000               1                   1   4748202A
                9              42               4              HO  1.00000               1                   1   4748242A
               10              42               4              HO  1.00000               1                   1   4748282A
               11              42               4              HO  1.00000               1                   1   47482C2A
               12              42               4              HO  1.00000               1                   1   4748302A
               13              42               4              HO  1.00000               1                   1   4748342A
               14              42               4              HO  1.00000               1                   1   4748382A
               15              42               4              HO  1.00000               1                   1   47483C2A
                1              43               4              HO  1.00000               1                   1   4748042B
                2              43               4              HO  1.00000               1                   1   4748082B
